ID,PlateNumber,Date,Troubles,ErrorCodes,Price,Methods
231,60N-029,17/08/2023,Ignition (finding),1,180,Adjustment
232,60N-029,16/11/2023,ECU's power,1,120,Adjustment
233,60N-029,15/02/2024,Temperature sensors,1,175,Replacement
234,60N-029,16/05/2024,Air conditioner,-1,125,Adjustment
235,60N-029,15/08/2024,Suspected battery,1,175,Adjustment
236,60N-029,14/11/2024,Brake fluild,-1,20,Urgent care
237,60N-030,14/11/2024,Valve clearance,1,175,Adjustment
238,60N-031,14/11/2024,Side slip,-1,90,Adjustment
239,60N-032,14/11/2024,Painting,-1,90,Replacement
240,60N-033,14/11/2024,Fans,1,55,Replacement
241,60N-034,14/11/2024,Brake fluild,-1,20,Urgent care
242,60N-035,14/11/2024,Valve clearance,1,175,Adjustment
243,60N-036,14/11/2024,Side slip,-1,90,Adjustment
244,60N-037,14/11/2024,Painting,-1,90,Replacement
245,60N-038,14/11/2023,Fans,1,55,Replacement
246,60N-038,10/02/2024,Valve clearance,1,175,Adjustment
247,60N-038,08/05/2024,Side slip,-1,90,Adjustment
248,60N-038,04/08/2024,Painting,-1,90,Replacement
249,60N-039,14/01/2023,Real axe,-1,90,Replacement
250,60N-039,10/03/2023,Valve clearance,1,175,Adjustment
251,60N-039,04/05/2023,Side slip,-1,90,Adjustment
252,60N-039,28/06/2023,Painting,-1,90,Replacement
253,60N-039,22/08/2023,Fans,1,55,Replacement
254,60N-039,16/10/2023,Valve clearance,1,175,Adjustment
255,60N-039,10/12/2023,Side slip,-1,90,Adjustment
256,60N-039,03/02/2024,Painting,-1,90,Replacement
257,60N-039,29/03/2024,Real axe,-1,90,Replacement
258,60N-040,29/03/2024,Pedals,1,90,Adjustment
259,60N-041,29/03/2024,Suspension,-1,175,Adjustment
260,60N-042,29/03/2024,Break system,-1,110,Replacement
261,60N-043,29/03/2024,Transmission,-1,175,Replacement
262,60N-044,29/03/2024,Suspected clutch,-1,175,Adjustment
263,60N-045,29/03/2024,Ignition (finding),1,180,Adjustment
264,60N-046,29/03/2024,Chassis,-1,85,Replacement
265,60N-047,29/03/2024,Cylinders,1,1000,Replacement
266,60N-048,29/03/2024,Ignition (finding),1,180,Adjustment
267,60N-049,29/03/2024,No error,0,0,NA
268,60N-050,29/03/2024,Chassis,-1,85,Replacement
269,60N-051,29/03/2024,Cylinders,1,1000,Replacement
270,60N-051,22/04/2024,Chassis,-1,85,Replacement
271,60N-051,16/05/2024,Cylinders,1,1000,Replacement
272,60N-051,09/06/2024,Noise (finding),1,10,Adjustment
273,60N-051,03/07/2024,Cylinders,1,1000,Replacement
274,60N-051,27/09/2024,Noise (finding),1,10,Adjustment
275,60N-051,22/12/2024,No error,0,0,NA
276,60N-051,12/03/2025,Cylinders,1,1000,Replacement
277,60N-052,13/03/2023,Worn tires,-1,175,Replacement
278,60N-052,16/06/2023,No error,0,0,NA
279,60N-052,19/09/2023,Loss of driving ability,-1,180,Urgent care
280,60N-052,23/12/2023,Loss of driving ability,-1,180,Urgent care
281,60N-052,27/03/2024,Suspected clutch,-1,175,Adjustment
282,60N-052,30/06/2024,Ignition (finding),1,180,Adjustment
283,60N-052,03/10/2024,Chassis,-1,85,Replacement
284,60N-053,03/10/2024,No error,0,0,NA
285,60N-054,03/10/2024,Loss of driving ability,-1,180,Urgent care
286,60N-055,03/10/2024,Loss of driving ability,-1,180,Urgent care
287,60N-056,03/10/2024,Suspected clutch,-1,175,Adjustment
288,60N-057,03/10/2024,Ignition (finding),1,180,Adjustment
289,60N-058,03/10/2024,Chassis,-1,85,Replacement
290,60N-059,03/10/2024,Cylinders,1,1000,Replacement
291,60N-060,03/10/2024,Noise (finding),1,10,Adjustment
292,60N-061,03/10/2024,Cylinders,1,1000,Replacement
293,60N-062,03/10/2024,Noise (finding),1,10,Adjustment
294,60N-063,03/04/2023,No error,0,0,NA
295,60N-063,04/06/2023,Cylinders,1,1000,Replacement
296,60N-063,05/08/2023,Ignition (finding),1,180,Adjustment
297,60N-063,06/10/2023,No error,0,0,NA
298,60N-063,07/12/2023,Chassis,-1,85,Replacement
299,60N-064,03/04/2023,Cylinders,1,1000,Replacement
300,60N-064,04/06/2023,Noise (finding),1,10,Adjustment
301,60N-064,05/09/2023,No error,0,0,NA
302,60N-064,07/12/2023,Cylinders,1,1000,Replacement
303,60N-064,09/03/2024,Worn tires,-1,175,Replacement
304,60N-065,07/12/2023,Worn tires,-1,175,Replacement
305,60N-066,07/12/2023,Ignition,1,180,Adjustment
306,60N-067,07/12/2023,Noise (finding),1,10,Adjustment
307,60N-068,07/12/2023,No error,0,0,NA
308,60N-069,07/12/2023,Worn tires,-1,175,Replacement
309,60N-070,07/12/2023,Ignition,1,180,Adjustment
310,60N-071,07/12/2023,Chassis,-1,85,Replacement
311,60N-072,07/12/2023,Cylinders,1,1000,Replacement
312,60N-073,07/12/2023,No error,0,0,NA
313,60N-074,07/12/2023,Worn tires,-1,175,Replacement
314,60N-075,07/12/2023,No error,0,0,NA
315,60N-075,08/01/2024,Loss of driving ability,-1,180,Urgent care
316,60N-075,09/02/2024,Suspected clutch,-1,175,Adjustment
317,60N-075,12/03/2024,Ignition (finding),1,180,Adjustment
318,60N-076,07/12/2023,Chassis,-1,85,Replacement
319,60N-076,08/01/2024,No error,0,0,NA
320,60N-076,09/02/2024,Loss of driving ability,-1,180,Urgent care
321,60N-076,12/03/2024,Suspected clutch,-1,175,Adjustment
322,60N-077,12/03/2024,Ignition (finding),1,180,Adjustment
323,60N-078,12/03/2024,Chassis,-1,85,Replacement
324,60N-079,12/03/2024,No error,0,0,NA
325,60N-080,12/03/2024,Loss of driving ability,-1,180,Urgent care
326,60N-081,12/03/2024,Loss of driving ability,-1,180,Urgent care
327,60N-082,12/03/2024,Suspected clutch,-1,175,Adjustment
328,60N-083,12/03/2024,Ignition (finding),1,180,Adjustment
329,60N-084,08/01/2024,Chassis,-1,85,Replacement
330,60N-084,09/02/2024,Cylinders,1,1000,Replacement
331,60N-084,12/03/2024,Noise (finding),1,10,Adjustment
332,60N-084,13/04/2024,No error,0,0,NA
333,60N-084,15/05/2024,Cylinders,1,1000,Replacement
334,60N-084,16/06/2024,Worn tires,-1,175,Replacement
335,60N-085,17/06/2024,Cylinders,1,1000,Replacement
336,60N-085,18/06/2024,Cylinders,1,1000,Replacement
337,60N-086,19/06/2024,Noise (finding),1,10,Adjustment
338,60N-087,20/06/2024,Cylinders,1,1000,Replacement
339,60N-088,21/06/2024,Noise (finding),1,10,Adjustment
340,60N-089,22/06/2024,No error,0,0,NA
341,60N-090,23/06/2024,Cylinders,1,1000,Replacement
342,60N-091,24/06/2024,Worn tires,-1,175,Replacement
343,60N-092,25/06/2024,Ignition,1,180,Adjustment
344,60N-093,26/06/2024,Noise (finding),1,10,Adjustment
345,60N-094,27/06/2024,No error,0,0,NA
346,60N-095,28/06/2024,Worn tires,-1,175,Replacement
347,60N-096,29/06/2024,Ignition,1,180,Adjustment
348,60N-097,30/06/2024,Chassis,-1,85,Replacement
349,60N-098,01/07/2024,Cylinders,1,1000,Replacement
350,60N-099,27/06/2024,No error,0,0,NA
351,60N-099,28/06/2024,Worn tires,-1,175,Replacement
352,60N-099,29/06/2024,Ignition,1,180,Adjustment
353,60N-099,30/06/2024,Chassis,-1,85,Replacement
354,60N-099,01/07/2024,Cylinders,1,1000,Replacement
355,60N-100,02/07/2024,No error,0,0,NA
356,60N-101,03/07/2024,No error,0,0,NA
357,60N-102,04/07/2024,Chassis,-1,85,Replacement
358,60N-103,05/07/2024,Cylinders,1,1000,Replacement
359,60N-104,06/07/2024,Ignition (finding),1,180,Adjustment
360,60N-105,07/07/2024,No error,0,0,NA
361,60N-106,08/07/2024,Loss of driving ability,-1,180,Urgent care
362,60N-107,09/07/2024,Loss of driving ability,-1,180,Urgent care
363,60N-108,10/07/2024,Suspected clutch,-1,175,Adjustment
364,60N-108,11/09/2024,Chassis,-1,85,Replacement
365,60N-108,13/11/2024,Cylinders,1,1000,Replacement
366,60N-109,14/11/2023,Ignition (finding),1,180,Adjustment
367,60N-109,15/02/2024,Chassis,-1,85,Replacement
368,60N-109,18/05/2024,Cylinders,1,1000,Replacement
369,60N-109,19/08/2024,Noise (finding),1,10,Adjustment
370,60N-110,20/08/2024,Cylinders,1,1000,Replacement
371,60N-111,21/08/2024,Cylinders,1,1000,Replacement
372,60N-112,22/08/2024,Noise (finding),1,10,Adjustment
373,60N-113,23/08/2024,Cylinders,1,1000,Replacement
374,60N-114,24/08/2024,Noise (finding),1,10,Adjustment
